contracts,employment_type,level_of_exp,location,optional_skills,os,required_skills,ua_support
['full-time'],['full office work'],['mid'],Bytom,"['Python', 'R', 'Microsoft Power BI', 'Java']",,['SQL'],False
['full-time'],"['home office work', 'hybrid work']",['mid'],Kraków,"['Python', 'MongoDB', 'Kubernetes']","['Windows', 'Linux']","['Jenkins', 'Spring Boot', 'Git', 'JPA', 'Java', 'AWS', 'Microsoft Azure', 'TeamCity', 'Google Cloud Platform']",True
['full-time'],['hybrid work'],['mid'],Zabierzów (pow. krakowski),"['Python', 'Boost', 'Conan', 'CMake 3']","['Windows', 'Linux']","['Git', 'SVN', 'C++', 'STL']",False
"['part time', 'full-time']",['praca mobilna'],['mid'],Warszawa,"['Python', 'Linux', 'WordPress', 'MariaDB']",['Linux'],"['PHP', 'MySQL']",False
['full-time'],"['home office work', 'hybrid work', 'full office work']",['mid'],Wrocław,"['Python', 'Vue.js', 'React.js']",,"['C#', 'PostgreSQL', 'Azure Logic Apps', '.NET']",False
['full-time'],['hybrid work'],['junior'],Warszawa,,,"['Python', 'VBA', 'SQL']",False
[],['hybrid work'],['trainee'],Warszawa,"['JMESPath', 'JSON', 'Python', 'JWT', 'C++']",,"['Confluence', 'Jetpack', 'Coroutines', 'GitHub', 'Jira', 'Kotlin', 'Java', 'Android', 'Gerrit']",False
['full-time'],['hybrid work'],['junior'],Warszawa,"['Python', 'C', 'Java']",,"['SQL', 'Microsoft Power BI', 'Looker', 'Google Cloud Platform']",False
['full-time'],['full office work'],['lead'],Warszawa,"['Python', 'Django', 'Flask', 'PHP']","['Windows', 'Linux']","['SQL', 'PostgreSQL', 'MariaDB']",False
['full-time'],['hybrid work'],['mid'],Kraków,['Windows'],,"['Python', 'Bash']",False
['full-time'],['home office work'],['mid'],Gdańsk,"['Python', 'PowerShell']",['Windows'],"['German', 'Java', 'Java Database Connectivity', 'JBoss EAP', 'Tomcat']",False
['full-time'],"['home office work', 'hybrid work', 'full office work']",['senior'],Łódź,"['Python', 'Jira', 'Git', 'Confluence']",,['C'],False
['full-time'],['full office work'],['mid'],Gdynia,"['Linux', 'Windows']",,"['PHP', 'Jira', 'Python', 'Selenium']",False
['full-time'],['home office work'],['senior'],Warszawa,"['Python', 'SQL', 'Llamasoft']",,"['Blue Yonder', 'SAP', 'Kinaxis', 'JDA']",False
['full-time'],['hybrid work'],"['mid', 'senior']",Warszawa,"['Python', 'JavaScript', 'TypeScript', 'Java']",,"['Docker', 'AWS', 'GitHub', 'Linux', 'Terraform']",False
['full-time'],['hybrid work'],['senior'],Kraków,"['Python', 'MongoDB', 'Kubernetes']",['Windows'],"['Spring Boot', 'JPA', 'Java', 'Google Cloud Platform']",False
['full-time'],['hybrid work'],['expert'],Warszawa,['Windows'],,"['Python', 'Perl', 'SQL']",False
['full-time'],['home office work'],['mid'],Łódź,"['Python', 'Kubernetes', 'Docker', 'PHP']",['Linux'],"['Git', 'WordPress', 'Zabbix', 'Ubuntu', 'PostgreSQL', 'AWS', 'Debian', 'MariaDB', 'Bash', 'Linux', 'Red Hat', 'CentOS', 'MySQL']",False
['full-time'],['hybrid work'],['senior'],Warszawa,"['Python', 'C#', 'JavaScript', 'Java']",,"['BPMN', 'UML', 'SQL', 'Git']",False
['full-time'],"['hybrid work', 'full office work']","['mid', 'senior']",Warszawa,"['Python', 'R', 'Bash', 'MATLAB']",['Linux'],"['Git', 'C']",False
"['additional / temporary', 'full-time', 'part time']",['hybrid work'],['trainee'],Wrocław,"['Python', 'PowerShell', 'Microsoft Azure', 'AWS']","['Windows', 'Linux']","['SQL', 'VMware', 'Veeam', 'Linux']",True
['part time'],['full office work'],['trainee'],Zielona Góra,['Windows'],,"['Bash', 'Python', 'Ansible', 'Terraform']",False
['full-time'],['home office work'],['mid'],Gdańsk,,,"['Python', 'R', 'C++', 'Java']",False
['full-time'],['home office work'],['mid'],Warszawa,"['Python', 'Pandas', 'NumPy']",,"['Shiny', 'SQL', 'R']",False
['full-time'],['hybrid work'],['mid'],Białystok,"['Bash', 'Python', 'PowerShell', 'SQL']","['Windows', 'Linux']","['Kubernetes', 'Puppet', 'Ansible', 'Terraform']",False
['full-time'],['home office work'],['mid'],Gliwice,"['Python', 'GitHub', 'Jenkins', 'OpenCV']",,"['C', 'Linux', 'C++']",False
['full-time'],['home office work'],['mid'],Wrocław,"['Python', 'RabbitMQ']",,"['AWS', 'Redis', 'Node.js']",False
['full-time'],['hybrid work'],['mid'],Warszawa,"['Bash', 'Perl', 'Python', 'PowerShell']","['Windows', 'Linux']","['Linux', 'Unix', 'Windows']",False
['full-time'],"['hybrid work', 'full office work']",['junior'],Warszawa,"['Bash', 'Perl', 'Python', 'Lua']",,"['C++', 'SVN', 'C', 'Git']",False
['full-time'],['hybrid work'],['junior'],Bydgoszcz,"['Python', 'Scala', 'Java']",,['SQL'],True
['full-time'],['home office work'],['mid'],Wrocław,"['Python', 'Pandas']","['Windows', 'macOS', 'Linux']","['Microsoft Power BI', 'Microsoft Excel']",False
